"Source:","D:\My Home Directory\Documents\Projects\Wireless Sensors\WirelessSensors\KiCad\Combined Boards\Combined Boards.kicad_sch"
"Date:","9/19/2023 10:50:00 AM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","1","100uH1","L1","Device:L","","~","","","","","","","","","",""
"2","2","C1, C2","3.3 pF","Device:C_Small","","~","","","","","","","","","",""
"3","2","C3, C7","39 pF","Device:C_Small","","~","","","","","","","","","",""
"4","8","C4, C17, C19, C20, C26, C30, C33, C34","100 nF","Device:C_Small","","~","","","","","","","","","",""
"5","2","C5, C12","1.8 pF","Device:C_Small","","~","","","","","","","","","",""
"6","1","C6","1 nF","Device:C_Small","","~","","","","","","","","","",""
"7","1","C8","5.6 pF","Device:C_Small","","~","","","","","","","","","",""
"8","1","C9","3.0 pF","Device:C_Small","","~","","","","","","","","","",""
"9","2","C10, C11","10 pF","Device:C_Small","","~","","","","","","","","","",""
"10","1","C13","47 pF","Device:C_Small","","~","","","","","","","","","",""
"11","1","C14","2.4 pF","Device:C_Small","","~","","","","","","","","","",""
"12","1","C15","47 nF","Device:C_Small","","~","","","","","","","","","",""
"13","2","C16, C27","470 nF","Device:C_Small","","~","","","","","","","","","",""
"14","3","C18, C24, C29","4.7 uF","Device:C_Small","","~","","","","","","","","","",""
"15","1","C21","1 uF","Device:C_Small","","~","","","","","","","","","",""
"16","1","C22","10 nF","Device:C_Small","","~","","","","","","","","","",""
"17","4","C23, C28, C31, C32","10 uF","Device:C_Polarized_Small_US","","~","","","","","","","","","",""
"18","1","C25","220 nF","Device:C_Small","","~","","","","","","","","","",""
"19","5","D1, D2, D3, D4, D5","SS54","Device:D_Schottky","","~","","","","","","","","","",""
"20","1","J1","Antenna","dk_Coaxial-Connectors-RF:U_FL-R-SMT_10_","digikey-footprints:Coax_Conn_U.FL","https://media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UFL%20Series.pdf","","Connectors, Interconnects","https://media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UFL%20Series.pdf","/product-detail/en/hirose-electric-co-ltd/U.FL-R-SMT(10)/H9161CT-ND/2135256","CONN U.FL RCPT STR 50 OHM SMD","H9161CT-ND","Coaxial Connectors (RF)","U.FL-R-SMT(10)","Hirose Electric Co Ltd","Active"
"21","1","J2","GPIO","Connector_Generic:Conn_02x10_Odd_Even","","~","","","","","","","","","",""
"22","1","J3","Debug","Connector_Generic:Conn_02x07_Odd_Even","","~","","","","","","","","","",""
"23","1","J4","LoRa Debug","Connector:Conn_01x06_Pin","","~","","","","","","","","","",""
"24","1","J5","Solar Panel","Connector:Conn_01x02_Pin","","~","","","","","","","","","",""
"25","1","J6","Micro USB","Connector:USB_B_Micro","","~","","","","","","","","","",""
"26","1","J7","STEMMA QT","Connector_Generic:Conn_01x04","","~","","","","","","","","","",""
"27","1","J8","Battery","Connector:Conn_01x02_Pin","","~","","","","","","","","","",""
"28","1","L1","9.1 nH","Device:L_Small","","~","","","","","","","","","",""
"29","1","L2","4.7 nH","Device:L_Small","","~","","","","","","","","","",""
"30","1","L3","2.5 nH","Device:L_Small","","~","","","","","","","","","",""
"31","1","L4","47 nH","Device:L_Small","","~","","","","","","","","","",""
"32","1","L5","15 nH","Device:L_Small","","~","","","","","","","","","",""
"33","1","L6","15 uH","Device:L","","~","","","","","","","","","",""
"34","1","L7","68 nH","Device:L_Small","","~","","","","","","","","","",""
"35","3","Q1, Q2, Q3","SI2301CDS-T1-GE3","Transistor_FET:Si2319CDS","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/66709/si2319cd.pdf","","","","","","","","","",""
"36","3","R1, R2, R9","100","Device:R_Small_US","","~","","","","","","","","","",""
"37","1","R3","120","Device:R_Small_US","","~","","","","","","","","","",""
"38","3","R4, R5, R7","10K","Device:R_Small_US","","~","","","","","","","","","",""
"39","1","R6","1.02","Device:R_Small_US","","~","","","","","","","","","",""
"40","1","R8","1K","Device:R_Small_US","","~","","","","","","","","","",""
"41","1","SW1","Power","Switch:SW_SPST","","~","","","","","","","","","",""
"42","1","U1","~","Wireless Sensors:HMC8038","","","","","","","","","","","",""
"43","1","U2","STM32WLE5CCU6","MCU_ST_STM32WL:STM32WLE5CCUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32wle5cc.pdf","","","","","","","","","",""
"44","1","U3","~","Wireless Sensors:CN3791","","","","","","","","","","","",""
"45","1","U4","~","Wireless Sensors:FS8205A","","","","","","","","","","","",""
"46","1","U5","HT7333-1","Regulator_Linear:HT75xx-1-SOT89","Package_TO_SOT_SMD:SOT-89-3","https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf","","","","","","","","","",""
"47","1","U6","~","Wireless Sensors:DW01A","","","","","","","","","","","",""
"48","1","Y1","32 MHz","Device:Crystal_GND24","","~","","","","","","","","","",""
